generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
82,16,5312,511.62955685932,147.51682301554652,52.07799054952005,0.1568808092055094,0.0,1.0,0.0,28.23333333333333,231.66666666666666,0.0,42.0,44.5
83,16,5376,511.62955685932,221.40262151105503,90.47895937474425,0.15452759706742675,0.0,1.0,0.0,28.099999999999998,240.66666666666666,0.0,41.666666666666664,44.5
84,16,5440,511.62955685932,190.52022222222223,23.786793971514165,0.15220968311141533,0.0,1.0,0.0,28.400000000000002,234.5,0.0,42.0,45.166666666666664
85,16,5504,511.62955685932,167.31078495660566,14.195428267585195,0.1499265378647441,0.0,1.0,0.0,28.233333333333334,236.33333333333334,0.0,42.166666666666664,45.0
86,16,5568,511.62955685932,223.41035525752943,-17.84228365995686,0.14767763979677295,0.0,1.0,0.0,29.3,253.83333333333334,0.0,41.5,43.166666666666664
87,16,5632,511.62955685932,149.52107256349476,35.31398308780548,0.14546247519982136,0.0,1.0,0.0,28.833333333333332,241.66666666666666,0.0,41.333333333333336,43.833333333333336
88,16,5696,511.62955685932,152.57116055701974,100.36632113161463,0.14328053807182403,0.0,1.0,0.0,28.36666666666667,231.16666666666666,0.0,41.833333333333336,44.333333333333336
89,16,5760,511.62955685932,219.94719115363654,102.20468105607783,0.14113133000074668,0.0,1.0,0.0,29.033333333333335,269.8333333333333,0.0,41.333333333333336,43.833333333333336
90,16,5824,511.62955685932,150.19551574354858,77.41805861925023,0.13901436005073547,0.0,1.0,0.0,29.33333333333334,251.5,0.0,41.0,43.333333333333336
91,16,5888,511.62955685932,148.84456254367575,110.29595734655761,0.13692914464997444,0.0,1.0,0.0,28.83333333333333,247.16666666666666,0.0,41.166666666666664,43.333333333333336
92,16,5952,511.62955685932,132.84823867039822,89.90593961116912,0.13487520748022483,0.0,1.0,0.0,28.53333333333333,247.16666666666666,0.0,41.833333333333336,44.333333333333336
93,16,6016,511.62955685932,201.61600677541742,111.35023278390321,0.13285207936802146,0.0,1.0,0.0,29.066666666666666,226.33333333333334,0.0,41.166666666666664,43.833333333333336
94,16,6080,511.62955685932,151.78490055809237,78.80982391726863,0.13085929817750114,0.0,1.0,0.0,28.633333333333336,239.83333333333334,0.0,41.5,43.833333333333336
95,16,6144,511.62955685932,175.97117283045932,113.61332693795543,0.12889640870483862,0.0,1.0,0.0,28.066666666666663,236.16666666666666,0.0,41.5,44.833333333333336
96,16,6208,511.62955685932,219.6064185189374,111.07186255124557,0.12696296257426604,0.0,1.0,0.0,29.266666666666662,254.0,0.0,41.166666666666664,43.666666666666664
97,16,6272,511.62955685932,187.08264729258775,83.2506485854816,0.12505851813565205,0.0,1.0,0.0,29.13333333333333,265.6666666666667,0.0,41.333333333333336,43.0
98,16,6336,511.62955685932,171.03631468660575,79.35094162607717,0.12318264036361727,0.0,1.0,0.0,28.900000000000002,252.33333333333334,0.0,41.0,43.833333333333336
99,16,6400,511.62955685932,166.14540585137314,110.5476940966202,0.12133490075816301,0.0,1.0,0.0,28.8,252.5,0.0,41.0,43.833333333333336
